# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL2	ENSG00000143322	ENST00000662960	retained_intron	0	0	0	36	0	0	0	0	0	0	0	14	0	2	0	3	0	0	0	0	0	0	0	0	0	0	17
ABL2	ENSG00000143322	ENST00000668691	processed_transcript	0	0	0	244	0	0	0	0	0	0	0	5	0	226	0	2	0	0	0	0	0	0	0	0	0	0	11
ACADM	ENSG00000117054	ENST00000370834	protein_coding	0	3	0	189	1	0	0	0	0	0	0	16	0	155	0	0	0	0	0	0	0	0	0	0	0	3	17
ACADM	ENSG00000117054	ENST00000370841	protein_coding	0	2	0	192	2	0	0	0	0	0	0	17	0	156	0	0	0	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000420607	protein_coding	0	2	0	189	0	0	0	0	0	0	0	16	0	156	0	0	0	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000473018	retained_intron	0	0	0	195	0	0	0	0	0	0	0	18	0	150	0	10	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000481374	processed_transcript	0	0	0	90	0	0	0	0	0	0	0	16	0	59	0	3	0	0	0	0	0	0	0	0	0	0	12
ACADM	ENSG00000117054	ENST00000525808	nonsense_mediated_decay	0	0	0	194	3	0	0	0	0	0	0	15	0	156	0	3	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000525881	retained_intron	0	0	0	87	0	0	0	0	0	0	0	25	0	43	0	2	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000526129	nonsense_mediated_decay	0	0	0	191	3	0	0	0	0	0	0	16	0	152	0	3	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000526196	nonsense_mediated_decay	0	0	0	193	2	0	0	0	0	0	0	16	0	156	0	2	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000526930	retained_intron	0	0	0	97	0	0	0	0	0	0	0	24	0	51	0	1	0	0	0	0	0	0	0	0	0	0	21
ACADM	ENSG00000117054	ENST00000528016	nonsense_mediated_decay	0	0	0	184	2	0	0	0	0	0	0	9	0	155	0	3	0	0	0	0	0	0	0	0	0	0	15
ACADM	ENSG00000117054	ENST00000529059	retained_intron	0	0	0	164	0	0	0	0	0	0	0	16	0	119	0	3	0	0	0	0	0	0	0	0	0	0	26
ACADM	ENSG00000117054	ENST00000530953	nonsense_mediated_decay	0	0	0	137	0	0	0	0	0	0	0	24	0	95	0	1	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000532207	retained_intron	0	0	0	109	0	0	0	0	0	0	0	16	0	65	0	13	0	0	0	0	0	0	0	0	0	0	15
ACADM	ENSG00000117054	ENST00000532509	nonsense_mediated_decay	0	0	0	138	1	0	0	0	0	0	0	24	0	95	0	1	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000534146	retained_intron	0	0	0	82	0	0	0	0	0	0	0	26	0	38	0	1	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000534334	nonsense_mediated_decay	0	0	0	189	2	0	0	0	0	0	0	17	0	151	0	2	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000541113	protein_coding	0	2	0	193	1	0	1	0	0	0	0	18	0	156	0	0	0	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000679509	retained_intron	0	0	0	193	0	0	0	0	0	0	0	16	0	151	0	9	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000679530	nonsense_mediated_decay	0	0	0	200	4	0	1	0	0	0	0	17	0	156	0	5	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000679615	retained_intron	0	0	0	193	0	0	0	0	0	0	0	16	0	146	0	14	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000679687	protein_coding	0	2	0	192	1	0	0	0	0	0	0	18	0	156	0	0	0	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000679704	nonsense_mediated_decay	0	0	0	198	4	0	0	0	0	0	0	18	0	155	0	4	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000679709	nonsense_mediated_decay	0	1	0	197	4	0	0	0	0	0	0	17	0	155	0	5	0	0	0	1	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000679804	retained_intron	0	0	0	103	0	0	0	0	0	0	0	16	0	68	0	2	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000679976	nonsense_mediated_decay	0	0	0	199	3	0	1	0	0	0	0	18	0	156	0	4	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680166	retained_intron	0	0	0	188	0	0	0	0	0	0	0	18	0	135	0	16	0	0	0	0	0	0	0	0	0	0	19
ACADM	ENSG00000117054	ENST00000680315	retained_intron	0	0	0	90	0	0	0	0	0	0	0	16	0	56	0	6	0	0	0	0	0	0	0	0	0	0	12
ACADM	ENSG00000117054	ENST00000680517	nonsense_mediated_decay	0	0	0	198	5	0	1	0	0	0	0	16	0	152	0	7	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680582	retained_intron	0	0	0	195	0	0	0	0	0	0	0	17	0	155	0	6	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680613	nonsense_mediated_decay	0	0	0	200	4	0	1	0	0	0	0	18	0	154	0	6	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680662	nonsense_mediated_decay	0	0	0	198	4	0	0	0	0	0	0	17	0	156	0	4	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680691	nonsense_mediated_decay	0	1	0	198	3	0	1	0	0	0	0	18	0	156	0	4	0	0	0	1	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680694	nonsense_mediated_decay	0	0	0	199	3	0	1	0	0	0	0	18	0	156	0	4	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680743	nonsense_mediated_decay	0	0	0	199	5	0	0	0	0	0	0	18	0	154	0	5	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680749	nonsense_mediated_decay	0	0	0	198	2	0	1	0	0	0	0	18	0	156	0	4	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680798	nonsense_mediated_decay	0	0	0	200	7	0	1	0	0	0	0	15	0	152	0	8	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680805	protein_coding	0	2	0	193	1	0	1	0	0	0	0	18	0	156	0	0	0	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000680844	nonsense_mediated_decay	0	1	0	198	7	0	0	0	0	0	0	16	0	152	0	7	0	0	0	1	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680948	nonsense_mediated_decay	0	0	0	199	5	0	0	0	0	0	0	17	0	155	0	5	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000680964	nonsense_mediated_decay	0	0	0	200	6	0	1	0	0	0	0	16	0	150	0	10	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681037	nonsense_mediated_decay	0	0	0	207	11	0	1	0	0	0	0	18	0	147	0	13	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681063	nonsense_mediated_decay	0	0	0	200	4	0	1	0	0	0	0	18	0	154	0	6	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681209	nonsense_mediated_decay	0	1	0	198	3	0	1	0	0	0	0	18	0	156	0	4	0	0	0	1	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681278	retained_intron	0	0	0	195	0	0	0	0	0	0	0	18	0	153	0	7	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681289	retained_intron	0	0	0	195	0	0	0	0	0	0	0	18	0	142	0	18	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681361	nonsense_mediated_decay	0	0	0	200	7	0	0	0	0	0	0	16	0	152	0	7	0	0	0	0	0	0	0	0	0	0	18
ACADM	ENSG00000117054	ENST00000681430	nonsense_mediated_decay	0	0	0	198	2	0	1	0	0	0	0	18	0	154	0	6	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681446	nonsense_mediated_decay	0	0	0	203	9	0	1	0	0	0	0	16	0	150	0	10	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681450	nonsense_mediated_decay	0	0	0	197	3	0	0	0	0	0	0	18	0	156	0	3	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681548	nonsense_mediated_decay	0	0	0	199	7	0	0	0	0	0	0	16	0	152	0	7	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681616	nonsense_mediated_decay	0	0	0	199	7	0	0	0	0	0	0	16	0	152	0	7	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681621	nonsense_mediated_decay	0	0	0	201	7	0	1	0	0	0	0	16	0	152	0	8	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681680	retained_intron	0	0	0	193	0	0	0	0	0	0	0	16	0	146	0	14	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681720	nonsense_mediated_decay	0	0	0	196	2	0	0	0	0	0	0	18	0	157	0	2	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681730	retained_intron	0	0	0	170	0	0	0	0	0	0	0	17	0	122	0	5	0	0	0	0	0	0	0	0	0	0	26
ACADM	ENSG00000117054	ENST00000681790	protein_coding	0	2	0	192	2	0	0	0	0	0	0	17	0	156	0	0	0	0	0	0	0	0	0	0	0	2	17
ACADM	ENSG00000117054	ENST00000681837	retained_intron	0	0	0	192	0	0	0	0	0	0	0	16	0	151	0	8	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681913	retained_intron	0	0	0	195	0	0	0	0	0	0	0	18	0	148	0	12	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681916	nonsense_mediated_decay	0	0	0	198	4	0	0	0	0	0	0	17	0	156	0	4	0	0	0	0	0	0	0	0	0	0	17
ACADM	ENSG00000117054	ENST00000681930	retained_intron	0	0	0	193	0	0	0	0	0	0	0	16	0	146	0	14	0	0	0	0	0	0	0	0	0	0	17
ACAP3	ENSG00000131584	ENST00000353662	protein_coding	0	2	0	61	0	0	0	0	0	0	0	14	0	26	0	0	0	0	0	1	0	0	0	0	0	1	22
ACAP3	ENSG00000131584	ENST00000354700	protein_coding	0	2	0	68	2	0	0	0	0	0	0	15	0	47	0	0	0	0	0	1	0	0	0	0	0	1	5
ACAP3	ENSG00000131584	ENST00000354980	nonsense_mediated_decay	0	0	0	49	0	0	0	0	0	0	0	17	0	27	0	0	0	0	0	0	0	0	0	0	0	0	5
ACAP3	ENSG00000131584	ENST00000379037	processed_transcript	0	0	0	31	0	0	0	0	0	0	0	10	0	10	0	1	0	0	0	0	0	0	0	0	0	0	10
ACAP3	ENSG00000131584	ENST00000438966	processed_transcript	0	0	0	36	0	0	0	0	0	0	0	10	0	20	0	1	0	0	0	0	0	0	0	0	0	0	5
ACAP3	ENSG00000131584	ENST00000467278	retained_intron	0	1	0	45	0	0	0	0	0	0	0	16	0	18	0	3	0	0	0	1	0	0	0	0	0	0	9
ACAP3	ENSG00000131584	ENST00000470659	retained_intron	0	0	0	35	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ACAP3	ENSG00000131584	ENST00000472541	retained_intron	0	0	0	52	0	0	0	0	0	0	0	18	0	29	0	2	0	0	0	0	0	0	0	0	0	0	3
ACAP3	ENSG00000131584	ENST00000476572	retained_intron	0	1	0	35	0	0	0	0	0	0	0	10	0	14	0	1	0	0	0	1	0	0	0	0	0	0	11
ACAP3	ENSG00000131584	ENST00000478065	retained_intron	0	0	0	44	0	0	0	0	0	0	0	16	0	4	0	6	0	0	0	0	0	0	0	0	0	0	18
ACAP3	ENSG00000131584	ENST00000479108	retained_intron	0	0	0	44	0	0	0	0	0	0	0	14	0	25	0	0	0	0	0	0	0	0	0	0	0	0	5
ACAP3	ENSG00000131584	ENST00000492936	retained_intron	0	1	0	67	0	0	0	0	0	0	0	15	0	29	0	8	0	0	0	1	0	0	0	0	0	0	16
ACAP3	ENSG00000131584	ENST00000493992	retained_intron	0	0	0	28	0	0	0	0	0	0	0	16	0	1	0	1	0	0	0	0	0	0	0	0	0	0	10
ACBD3	ENSG00000182827	ENST00000366812	protein_coding	0	0	0	117	2	0	0	0	0	0	0	20	0	89	0	0	0	0	0	0	0	0	0	0	0	0	6
ACBD3	ENSG00000182827	ENST00000464927	processed_transcript	0	0	0	32	0	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	14
ACBD3-AS1	ENSG00000234478	ENST00000440540		0	0	0	25	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
ACBD6	ENSG00000230124	ENST00000367595	protein_coding	0	0	0	596	0	0	1	0	0	0	0	11	0	571	0	0	0	0	0	0	0	0	0	0	0	0	13
ACBD6	ENSG00000230124	ENST00000415414	processed_transcript	0	0	0	45	0	0	0	0	0	0	0	16	0	7	0	3	0	0	0	0	0	0	0	0	0	0	19
ACBD6	ENSG00000230124	ENST00000440959	processed_transcript	0	0	0	38	0	0	0	0	0	0	0	9	0	2	0	4	0	0	0	0	0	0	0	0	0	0	23
ACBD6	ENSG00000230124	ENST00000475338	processed_transcript	0	0	0	366	0	0	0	0	0	0	0	10	0	340	0	1	0	0	0	0	0	0	0	0	0	0	15
ACBD6	ENSG00000230124	ENST00000496993	processed_transcript	0	0	0	434	0	0	0	0	0	0	0	9	0	414	0	0	0	0	0	0	0	0	0	0	0	0	11
ACBD6	ENSG00000230124	ENST00000622400	processed_transcript	0	0	0	31	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19
ACBD6	ENSG00000230124	ENST00000642319	protein_coding	0	0	0	648	3	0	2	0	0	0	0	16	0	615	0	0	0	0	0	0	0	0	0	0	0	0	12
ACBD6	ENSG00000230124	ENST00000645415	nonsense_mediated_decay	0	0	0	653	3	0	2	0	0	0	0	16	0	615	0	5	0	0	0	0	0	0	0	0	0	0	12
ACKR1	ENSG00000213088	ENST00000368121	protein_coding	0	0	0	21	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12
ACKR1	ENSG00000213088	ENST00000368122	protein_coding	0	0	0	21	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12
ACKR1	ENSG00000213088	ENST00000435307	retained_intron	0	0	0	21	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ACKR1	ENSG00000213088	ENST00000537147	protein_coding	0	0	0	26	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17
ACOT11	ENSG00000162390	ENST00000343744	protein_coding	0	3	2	233	2	0	0	0	0	0	0	15	0	200	2	0	0	0	0	2	0	0	0	0	0	2	17
ACOT11	ENSG00000162390	ENST00000371316	protein_coding	0	3	2	287	5	0	0	0	0	0	0	12	0	254	2	0	0	0	0	2	0	0	0	0	0	2	17
ACOT11	ENSG00000162390	ENST00000479837	processed_transcript	0	0	0	28	0	0	0	0	0	0	0	11	0	6	0	1	0	0	0	0	0	0	0	0	0	0	10
ACOT11	ENSG00000162390	ENST00000481208	processed_transcript	0	2	0	254	0	0	0	0	0	0	0	15	0	218	0	5	0	0	0	2	0	0	0	0	0	0	18
ACOT11	ENSG00000162390	ENST00000498228	processed_transcript	0	2	0	209	0	0	0	0	0	0	0	11	0	176	0	7	0	0	0	2	0	0	0	0	0	0	17
ACOT7	ENSG00000097021	ENST00000361521	protein_coding	0	1	0	393	0	0	4	0	0	0	0	13	0	367	0	0	0	0	0	0	0	0	0	0	0	1	9
ACOT7	ENSG00000097021	ENST00000377842	protein_coding	0	1	0	330	0	0	1	0	0	0	0	13	0	306	0	0	0	0	0	0	0	0	0	0	0	1	10
ACOT7	ENSG00000097021	ENST00000377845	protein_coding	0	1	0	333	0	0	0	0	0	0	0	13	0	311	0	0	0	0	0	0	0	0	0	0	0	1	9
ACOT7	ENSG00000097021	ENST00000377855	protein_coding	0	1	0	378	0	0	0	0	0	0	0	13	0	357	0	0	0	0	0	0	0	0	0	0	0	1	8
ACOT7	ENSG00000097021	ENST00000377860	nonsense_mediated_decay	0	0	0	392	0	0	0	0	0	0	0	13	0	367	0	1	0	0	0	0	0	0	0	0	0	0	11
ACOT7	ENSG00000097021	ENST00000418124	nonsense_mediated_decay	0	0	0	392	0	0	0	0	0	0	0	13	0	367	0	1	0	0	0	0	0	0	0	0	0	0	11
ACOT7	ENSG00000097021	ENST00000473466	protein_coding	0	1	0	282	0	0	1	0	0	0	0	18	0	238	0	0	0	0	0	0	0	0	0	0	0	1	25
ACOT7	ENSG00000097021	ENST00000481175	retained_intron	0	0	0	71	0	0	0	0	0	0	0	18	0	35	0	4	0	0	0	0	0	0	0	0	0	0	14
ACOT7	ENSG00000097021	ENST00000545482	protein_coding	0	1	0	393	0	0	4	0	0	0	0	13	0	367	0	0	0	0	0	0	0	0	0	0	0	1	9
ACOT7	ENSG00000097021	ENST00000608083	protein_coding	0	1	0	391	0	0	0	0	0	0	0	13	0	367	0	0	0	0	0	0	0	0	0	0	0	1	11
ACP6	ENSG00000162836	ENST00000392988	protein_coding	0	1	0	46	1	0	1	0	0	0	0	3	0	32	0	0	0	0	0	0	0	0	0	0	0	1	9
ACP6	ENSG00000162836	ENST00000460583	retained_intron	0	0	0	17	0	0	0	0	0	0	0	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	8
ACP6	ENSG00000162836	ENST00000487562	protein_coding	0	1	0	49	1	0	0	0	0	0	0	4	0	34	0	0	0	0	0	0	0	0	0	0	0	1	10
ACP6	ENSG00000162836	ENST00000493129	protein_coding	0	0	0	46	0	0	0	0	0	0	0	8	0	29	0	0	0	0	0	0	0	0	0	0	0	0	9
ACP6	ENSG00000162836	ENST00000583509	protein_coding	0	2	1	57	7	0	2	0	0	0	0	5	0	34	1	0	0	0	0	0	0	0	0	0	0	2	9
ACP6	ENSG00000162836	ENST00000609196	protein_coding	1	2	1	50	1	0	0	0	0	0	0	5	0	37	1	0	0	0	0	0	0	0	0	1	0	2	7
ACP6	ENSG00000162836	ENST00000611629	protein_coding	0	1	0	24	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	1	8
ACP6	ENSG00000162836	ENST00000613673	retained_intron	0	0	0	54	0	0	0	0	0	0	0	7	0	33	0	5	0	0	0	0	0	0	0	0	0	0	9
ACP6	ENSG00000162836	ENST00000614551	retained_intron	0	0	0	22	0	0	0	0	0	0	0	4	0	10	0	1	0	0	0	0	0	0	0	0	0	0	7
ACP6	ENSG00000162836	ENST00000620634	nonsense_mediated_decay	0	0	0	49	1	0	1	0	0	0	0	4	0	32	0	2	0	0	0	0	0	0	0	0	0	0	9
ACTA1	ENSG00000143632	ENST00000366683	protein_coding	0	1	0	42	0	0	2	0	0	0	0	10	0	10	0	0	0	0	0	1	0	0	0	0	0	0	21
ACTA1	ENSG00000143632	ENST00000366684	protein_coding	0	1	0	42	0	0	2	0	0	0	0	10	0	10	0	0	0	0	0	1	0	0	0	0	0	0	21
